Title,Artist,Year,Link
"Robertson, 3 B, from Baseball strip cards (W575-2)",,1921,http://www.metmuseum.org/art/collection/search/812824
"Babe Ruth, L F, Yanks, from Baseball strip cards (W575-2)",,1921,http://www.metmuseum.org/art/collection/search/812826
"Wally Schang, C. Yanks, from Baseball strip cards (W575-2)",,1921,http://www.metmuseum.org/art/collection/search/812828
Geo. Sisler from Baseball strip cards (W575-2),,1921,http://www.metmuseum.org/art/collection/search/812829
"Clarence Walker, L.F. Phil - A., from Baseball strip cards (W575-2)",,1921,http://www.metmuseum.org/art/collection/search/812830
"Kenneth Williams, C.F.- St. Louis, A, from Baseball strip cards (W575-2)",,1921,http://www.metmuseum.org/art/collection/search/812831
"Saint Roch, kneeling on a stone, seen from the side with his dog behind him and a townscape in the background at left","Giuseppe Caletti, called Cremonese",1620,http://www.metmuseum.org/art/collection/search/812832
"""The Chameleon declares that he is happy and proud to be, as always, of the same opinion as everyone"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Joseph Hippolyte Jules Caqué,1832,http://www.metmuseum.org/art/collection/search/812833
"Trade card for Thomas Clout, printer","Anonymous, British, 18th century",1700,http://www.metmuseum.org/art/collection/search/812835
Delilah holding Samson's hair and a pair of scissors,"Giuseppe Caletti, called Cremonese",1620,http://www.metmuseum.org/art/collection/search/812836
"""After accepting a glass of sweet water, the illustrious orator descends from the platform"" from Scenes from the Private and Public Life of Animals ",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812837
"""Here, the civet offers a hit of snuff to an old beaver"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812839
"Echo, M-G-M, from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812840
"She gathers the fairest flower (Il più bel fior ne coglie), a group of six putti working together in an arched workshop",Giovanni Domenico Campiglia|Carlo Gregori,1740,http://www.metmuseum.org/art/collection/search/812841
"Trade Card for Rothwell & Hicks, engravers","Anonymous, British, 18th century",1700,http://www.metmuseum.org/art/collection/search/812842
"Spud ""Our Gang"", M-G-M, from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812843
"""This protest was stifled by the noise of private conversations"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/812844
Private and Public Life of Animals; Scenes of Customs,Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812845
"Tom Keene, Pathe, from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812846
"Trade Card for John Drury, printer and bookbinder","Anonymous, British, 18th century",1700,http://www.metmuseum.org/art/collection/search/812847
"Francis X. Bushman Jr., Uni., from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812848
Saint Anthony of Padua,Guido Cagnacci|Anonymous,1650,http://www.metmuseum.org/art/collection/search/812849
"Ted Wells, Uni., from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812850
"Geo. O'Brien, Fox, from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812851
"""I hope to prove one day that in the hands of a magpie, a feather is no less valuable than in the claws of a wolf or the legs of a fox "" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812852
"Trade Card for Downey, engraver","Anonymous, British, 19th century",1800,http://www.metmuseum.org/art/collection/search/812853
"""The oldest rabbit jumped respectfully on his grandfather's lap..."" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812855
"Angelica and Medoro; they stand next to a stream as Medoro carves their names into a tree, a putto is seated at left with a torch and another putto walks towards them with a goat",Donato Rasicotti|Aegidius Sadeler II|Carletto Caliari,1590,http://www.metmuseum.org/art/collection/search/812856
Ornamental Design with a Cross and Pendants,Willem Jansz Blaeu|Guillaume de La Quewellerie,1611,http://www.metmuseum.org/art/collection/search/812857
"""Babe"" Ruth ""King of Swat"" from 1933 Uncle Jacks Candy cards (R317)",,1933,http://www.metmuseum.org/art/collection/search/812858
"Trade Card for Frazer, army printer, stationer and bookbinder","Anonymous, Irish, 19th century",1800,http://www.metmuseum.org/art/collection/search/812859
"""There was once, in the camp there, two little hares with their sister, and then there was also a big bad bird who wanted to stop them from passing"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/812860
"""My captor was one of the king's lackeys"" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812861
"""The Beautiful World of the Tuileries"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812864
"""My new master"" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812865
Ornamental Design with Pendants,Willem Jansz Blaeu|Guillaume de La Quewellerie,1611,http://www.metmuseum.org/art/collection/search/812867
"Trade Card for T. Sanders, engraver","Anonymous, British, 19th century",1800,http://www.metmuseum.org/art/collection/search/812868
"""His son, who looked like him in every way ..."" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812869
"Maureen O'Sullivan, Fox, from Cutout Head Strip Cards (W500)",,1920,http://www.metmuseum.org/art/collection/search/812870
"Trade Card for J. Throsby, printer, stationer and printseller","Anonymous, British, 18th century",1700,http://www.metmuseum.org/art/collection/search/812871
"Trade Card for J.M. Savage, engraver, printer and lithographer","Anonymous, British, 19th century",1800,http://www.metmuseum.org/art/collection/search/812872
"""To pay the landlord, a very hard man, whose name was M. Vaulour"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812873
"""He was a regular on the front lines..."" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Joseph Hippolyte Jules Caqué,1832,http://www.metmuseum.org/art/collection/search/812875
"""Hold on to me, I am telling my witness..."" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/812876
"""There are men who walk around begging on fertile ground"" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812877
"May Allison from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812878
"""Friends, the wise one places his glory in eating well"" fromScenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812879
"""Only his belly was remarkable"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812880
"Mary Anderson from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812881
"Kathryn Adams from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812882
"Agnes Ayers from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812883
"Theda Bara from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812884
"Beverly Bayne from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812885
"Belle Bennett from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812886
"Jewel Carmen from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812887
"Enid Bennett from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812888
"Gladys Brockwell from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812889
"Alice Brady from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812890
"Billie Burke from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812891
"Mrs. Vernon Castle from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812892
"Ethel Clayton (with dog) from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812893
"Ethel Clayton from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812894
"""More than once, while leaving the masked ball Mr. de *** was arrested by the patrol officers"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/812896
"""Article 231. The husband needs to protect his wife, the wife needs to obey her husband"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Pierre François Godard,1832,http://www.metmuseum.org/art/collection/search/812897
"""A very well put insect and beautiful dancer"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812898
Le Moine à l'orgue,Alphonse Legros,1870,http://www.metmuseum.org/art/collection/search/812900
"""An Old Butterfly"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812901
"Belle Bennett from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812902
"Venus mourning Adonis, seated beneath a tree and embracing him, with Cupid at left",Anonymous|Luca Cambiaso,1810,http://www.metmuseum.org/art/collection/search/812903
"""The Sloth yawned: 'I had...waited'"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812905
Le Moine à l'orgue,Alphonse Legros,1870,http://www.metmuseum.org/art/collection/search/812906
"""We are going to incise the muscles, saw the bones, in a word, heal the sick"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812907
"Mrs. Vernon Castle from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812909
"""The studies are painful, expensive; but the students are intrepid"" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812910
"""Having said that, this poor invalid gives us a curtsy, and goes hobbling off"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812912
"Marguerite Clayton from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812914
"Mildred Harris Chaplin from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812915
"""A Stork was called to the presidency..."" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812916
Two Trees,Peter Doig,2017,http://www.metmuseum.org/art/collection/search/812918
"""The further we go, the less we penetrate the horrible mystery of which the unfortunate toad was a victim"" from Scenes from the Private and Public Life of Animals ","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812919
The Holy Family with the infant Saint John the Baptist,Giacomo Cavedone|Andrea Scacciati,1760,http://www.metmuseum.org/art/collection/search/812921
A sainted bishop of the Benedictine order kneeling towards the right and pointing at the heavens,"Giuseppe Caletti, called Cremonese",1620,http://www.metmuseum.org/art/collection/search/812922
"""The favorite object of his studies is the collection of Idylles by Madame Deshoulières"" from Scenes from the Private and Public Life of Animals ",J. J. Grandville|Joseph Hippolyte Jules Caqué,1832,http://www.metmuseum.org/art/collection/search/812923
"Dolores Cassinelli from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812924
"Ora Carew from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812925
"June Caprice from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812926
"Catherine Calvert from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812927
"Lina Cavalieri from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812928
"Miriam Cooper from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812929
"Marguerite Clark from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812930
"Jane Cowl from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812931
"Pauline Curley from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812932
"Bobby Connelly from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812933
"Virginia Lee Corbin from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812934
"Dorothy Dalton from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812935
"Mildred Davis from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812936
"Viola Dana from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812937
"Florence Deshon from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812938
"Mrs. Sidney Drew from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812939
"Mrs. Sidney Drew from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812940
"Maxine Elliott from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812941
"Madge Evans from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812942
"Elinor Fair from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812943
"Geraldine Farrar from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812944
The Beheading of Saint John the Baptist,"Giuseppe Caletti, called Cremonese",1620,http://www.metmuseum.org/art/collection/search/812945
"""The author of this attack is a delicate little wolf"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812946
"""The occupations of my contemplative life were very simple "" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Joseph Hippolyte Jules Caqué,1832,http://www.metmuseum.org/art/collection/search/812948
"""I ordinarily opened the ball with the prettiest villager"" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812949
"""We live between ourselves, we hate the nuisances and the visits"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/812950
"""Here is one who mends by nicely biting"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812951
"""What's that noise? and what does this scoundrel want?"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812953
"""He tells us: don't cry, Act!"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812962
"""This is what the men call a church rat"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812966
"Elsie Ferguson from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812969
"Margarita Fischer from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812970
"Pauline Frederick from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812971
"Patsy de Forest from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812972
"Mary Garden from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812973
"Texas Guinan from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812974
"Evelyn Greeley from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812975
"Louise Glaum from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812976
"Edna Goodrich from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812977
"Adele De Garde from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812978
"""I left as the Attorney-General of Moinraux in Paris"" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812979
"""As soon as I set foot on the island..."" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/812980
"Corinne Griffith from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812981
"""The first show that struck me was the wonderful activity of these people"" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Henri-Désiré Porret,1832,http://www.metmuseum.org/art/collection/search/812983
"Elaine Hammerstein from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812984
"Virginia Hammond from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812985
"Alma Hanlon from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812986
"Josephine Hill from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812987
"Louise Huff from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812988
"Gladys Hulette from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812989
"Peggy Hyland from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812990
"Peggy Hyland from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812991
"Alice Joyce from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812992
"Madge Kennedy (seated) from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812993
"Madge Kennedy from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812994
"Mary MacLaren from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812995
"Gladys Leslie from Kromo Gravure ""Leading Moving Picture Stars"" (W623)","Kromo Gravure Photo Company, Detroit, Michigan",1917,http://www.metmuseum.org/art/collection/search/812996
"""He had only his beautiful colors..."" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812997
"""After, in came the body of guards armed with terrible stings"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/812998
"""I saw a wolf standing guard"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/812999
"""All of the wolves are brothers"" from Scenes from the Private and Public Life of Animals",Pierre François Godard|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813001
"Album 536, Page 32",,1920,http://www.metmuseum.org/art/collection/search/813002
"Album 536, Page 33",,1917,http://www.metmuseum.org/art/collection/search/813003
"""What do you say about the butterfly hunt?"" from Scenes from the Private and Public Life of Animals","J. J. Grandville|Andrew, Best, Leloir",1832,http://www.metmuseum.org/art/collection/search/813005
"Album 536, Page 34",,1917,http://www.metmuseum.org/art/collection/search/813007
"Album 536, Page 35",,1917,http://www.metmuseum.org/art/collection/search/813009
"""Now, I understand the mother wolf of Rome"" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813010
"Album 536, Page 36",,1917,http://www.metmuseum.org/art/collection/search/813011
"""The Proprietor"" from Scenes from the Private and Public Life of Animals","Andrew, Best, Leloir|J. J. Grandville",1832,http://www.metmuseum.org/art/collection/search/813012
"""I was ignominiously arrested"" from Scenes from the Private and Public Life of Animals",Pierre François Godard|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813014
"""She responded to my protests and oaths with a tone of mockery so cold that I swore to die"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813016
"""I urged them to eat some boiled eggs"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813018
"""The more beautiful the drama, the more sad the orchestra is to hear "" from Scenes from the Private and Public Life of Animals",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813021
"""My hero was good at hanging"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813022
"""At this frightful story, Zemire throws himself at Azor's feet"" from Scenes from the Private and Public Life of Animals",J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813023
"""He has each of them, as they say in the journals devoted to the fine arts"" from Scenes from the Private and Public Life of Animals ",Charles Tamisier|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813024
"Trade Card for Suffield, seal engraver","Anonymous, British, late 18th to early 19th century",1775,http://www.metmuseum.org/art/collection/search/813025
"""And yet we add that, outside the theater, these animals are even more ugly"" from Scenes from the Private and Public Life of Animals ",Pierre François Godard|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813026
"""It has been very wrong to take from our poets the classic muzzle"" from Scenes from the Private and Public Life of Animals ",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813027
"Trade Card for Suffield, seal engraver","Anonymous, British, late 18th to early 19th century",1775,http://www.metmuseum.org/art/collection/search/813028
"""I was a widow"" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813029
"Trade Card for Smith & Kimbell, seal and copper plate engravers","Anonymous, British, 18th century",1700,http://www.metmuseum.org/art/collection/search/813030
"""The Tiger entered stealthily, the dagger in his hand"" from Scenes from the Private and Public Life of Animals ",Pierre François Godard|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813031
"Trade Card for Welchman, seal engraver","Anonymous, British, early 19th century",1800,http://www.metmuseum.org/art/collection/search/813032
"""And a very obstinate vole..."" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/813033
"Trade Card for Richard Beatniffe, printer and bookseller",Richard Beatniffe,1759,http://www.metmuseum.org/art/collection/search/813034
"Frontispiece of ""Aerarium Philosophiae Mathematicae"" by Mario Bettini",Mario Bettini|Francesco Curti,1648,http://www.metmuseum.org/art/collection/search/813035
"""This old court apparently has an old falcon..."" from Scenes from the Private and Public Life of Animals",J. J. Grandville|Louis-Henri Brevière,1832,http://www.metmuseum.org/art/collection/search/813037
"""The Duchess is singing a nocturne with the Duke..."" from Scenes from the Private and Public Life of Animals",Louis-Henri Brevière|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813038
"Saint Anthony of Padua holding a lily and a scroll, with an infant at lower left",Francesco Curti,1633,http://www.metmuseum.org/art/collection/search/813039
"""One of those novice hunters for whom nothing is sacred"" from Scenes from the Private and Public Life of Animals ",Joseph Hippolyte Jules Caqué|J. J. Grandville,1832,http://www.metmuseum.org/art/collection/search/813041
Saint Jerome Reading,Bernardino Curti,1630,http://www.metmuseum.org/art/collection/search/813044
"North Carolina Hospital for the Insane, at Raleigh",Alexander Jackson Davis,1850,http://www.metmuseum.org/art/collection/search/813048
